"whrs","kl6","k618","wa","we"
1610,1,0,32,12
1656,0,2,30,12
1980,1,3,35,12
456,0,3,34,12
1568,1,2,31,14
2032,0,0,54,12
1440,0,2,37,16
1020,0,0,54,12
1458,0,2,48,12
1600,0,2,39,12
1969,0,1,33,12
1960,0,1,42,11
240,1,2,30,12
997,0,2,43,12
1848,0,1,43,10
1224,0,3,35,11
1400,0,2,43,12
640,0,5,39,12
2000,0,0,45,12
1324,0,4,35,12
2215,0,2,42,16
1680,0,0,30,12
1600,0,0,48,13
800,0,0,45,12
1955,1,1,31,12
660,0,2,43,17
525,0,0,59,12
1904,0,3,32,12
1516,1,0,31,17
346,0,0,42,12
1040,0,0,50,11
732,0,0,59,16
1880,0,2,36,13
1680,0,1,51,12
2081,0,3,45,16
690,0,1,42,11
4210,0,0,46,12
2205,0,1,46,10
1952,0,0,51,14
1302,0,0,30,17
112,1,2,30,12
893,0,0,57,12
583,1,2,31,16
480,0,2,48,12
1900,0,3,30,12
576,0,2,34,12
2056,0,2,48,16
1984,0,0,45,12
2640,0,0,51,12
240,0,2,30,12
1173,0,1,46,12
3640,0,0,58,12
340,0,8,37,12
500,0,0,52,8
1599,0,0,52,10
1830,0,0,31,16
1920,0,0,55,14
2052,0,0,34,17
2312,0,0,55,14
196,0,2,39,12
2500,0,3,40,14
1980,0,4,43,12
1840,0,0,48,8
320,0,0,47,12
419,0,4,41,12
1880,0,0,36,8
72,0,2,46,17
120,0,0,34,12
1885,0,3,41,12
240,0,1,51,12
1729,0,0,33,12
1850,0,0,52,12
2033,0,0,58,9
608,2,4,34,10
1153,0,1,31,12
2208,0,1,48,12
252,0,2,32,12
337,0,0,49,17
90,2,2,32,15
1174,0,0,58,12
372,0,0,50,6
30,0,0,60,14
1800,0,1,50,12
282,0,0,56,14
720,0,0,51,9
1440,0,1,54,17
2100,0,0,59,13
1000,0,2,46,9
952,0,1,46,15
1413,1,3,39,12
2100,0,2,44,12
120,2,0,33,12
3000,1,2,33,12
1000,0,2,48,12
336,0,4,31,12
1216,0,1,45,12
988,0,1,45,12
2581,0,2,32,13
2030,0,0,47,12
413,0,2,34,13
782,0,1,37,12
1388,0,1,36,12
1450,1,2,47,12
1720,0,1,48,16
800,0,2,42,12
360,0,3,33,13
2000,0,0,46,11
1176,0,3,47,12
2058,0,1,44,12
900,0,4,36,12
215,2,0,31,17
2000,0,0,55,14
757,0,1,45,16
1264,0,0,47,17
2064,0,3,46,12
1280,0,0,49,11
1715,0,0,49,12
2000,0,2,45,12
12,1,3,38,17
1528,0,0,47,10
561,0,3,54,13
2058,0,0,41,11
1823,0,2,43,12
1680,1,1,31,16
1440,0,0,47,17
4950,0,2,35,12
1176,0,3,45,16
1100,1,0,33,12
1516,0,1,54,16
900,0,4,35,8
1080,1,2,31,12
480,0,0,55,12
288,0,2,34,12
1875,0,1,38,13
630,0,1,45,11
234,0,1,47,12
1600,0,2,39,12
960,1,0,36,14
120,1,2,33,12
2025,0,0,50,12
1809,0,0,58,12
3087,0,0,49,17
910,0,2,41,14
1840,0,1,51,12
784,0,0,53,9
400,1,2,36,12
1000,0,2,46,12
1904,0,2,36,12
1771,0,1,53,14
1486,0,3,40,16
